dashboard_name,widget_type
1 - ESG Dashboard,chart/column
1 - ESG Dashboard,chart/line
1 - ESG Dashboard,chart/bar
1 - ESG Dashboard,chart/column
1 - ESG Dashboard,chart/column
1 - ESG Dashboard,BloX
1 - ESG Dashboard,BloX
1 - ESG Dashboard,chart/column
1 - ESG Dashboard,chart/column
_accrd_test,indicator
_drill_beqom,pivot2
_drill_CCT_json,BloX
_drill_CCT_json,BloX
_drill_dash,pivot2
_drill_Sample_Ecommerce,indicator
_drill_Sample_Ecommerce,indicator
_drill_Sample_Ecommerce,chart/scatter
_drill_Sample_Ecommerce,chart/line
_drill_test_plugin (1),chart/pie
_try_another,pivot2
_try_test,pivot2
Accounts_Receivable_closed_ar_auto_sklearn,BloX
Accounts_Receivable_closed_ar_sagemaker,BloX
airline_sisense_custom,chart/line
airline_sisense_custom,pivot2
airline_sisense_custom,pivot2
airline_sisense_custom (1),chart/line
airline_sisense_custom (1),pivot2
airline_sisense_custom (1),pivot2
akitabox_metadata,pivot2
Amex,chart/line
Amex,BloX
Amex,chart/line
Amex,pivot2
APIs,pivot2
Auto_ML-Online-Prediction,pivot2
Auto_ML-Online-Prediction,pivot2
Auto_ML-Online-Prediction(blox),BloX
Autobot,pivot2
Autobot,BloX
Autobot,indicator
Autobot,pivot2
Autobot,indicator
Autobot_original,pivot2
Autobot_original,BloX
Autobot_original,indicator
Autobot_original,pivot2
Autobot_original,pivot2
Autobot_original,indicator
Autobot_original,indicator
bank_churn_bank_churn_train_auto_sklearn,BloX
bank_churn_bank_churn_train_auto_sklearn,tablewidget
bank_churn_bank_churn_train_sagemaker,BloX
Beqom,chart/bar
Beqom,chart/bar
Beqom,chart/line
Beqom,chart/bar
Beqom,pivot2
bigquery,indicator
bigquery,indicator
bigquery,chart/boxplot
Blox - Measure Switcher v2.1 - Supports Format,chart/column
Blox - Measure Switcher v2.1 - Supports Format,BloX
Blox - Measure Switcher v2.1 - Supports Format,chart/bar
Blox - Measure Switcher v2.1 - Supports Format,chart/line
Blox - Measure Switcher v2.1 - Supports Format,indicator
Blox - Measure Switcher v2.1 - Supports Format,richtexteditor
Blox - Measure Switcher v2.1 - Supports Format,pivot2
Blox - Measure Switcher v2.1 - Supports Format,richtexteditor
Blox AI,richtexteditor
Blox AI,BloX
Blox Examples,BloX
Blox Examples,pivot2
Blox Examples,pivot2
Blox Examples,pivot2
Blox Examples,BloX
Blox Examples,BloX
Blox Examples,BloX
Blox Examples,BloX
Blox Examples,BloX
Blox Examples,BloX
Blox Examples,BloX
Blox Examples,BloX
Blox Examples,BloX
Blox Examples (1),BloX
Blox Examples (1),pivot2
Blox Examples (1),BloX
Blox Examples (1),BloX
Blox Month L12M Quarter Year Filter Buttons,BloX
Blox1,BloX
Blox1,BloX
Blox1,BloX
Blox1,wiserFilterWidget
Blox1,wiserFilterWidget
Blox1,wiserFilterWidget
Blox1,BloX
Blox1,pivot2
Blox1,BloX
Blox1,BloX
blox_landing_page,BloX
blox_train_model,pivot2
CCT_json,pivot2
central_square_sdiff,pivot2
CentralReach,pivot2
CentralReach,chart/line
CentralReach,indicator
CentralReach,indicator
CentralReach,pivot2
centralsquare_search,indicator
churn_prediction_churn_auto_sklearn,BloX
churn_prediction_churn_sagemaker,BloX
Community,chart/line
CON,pivot2
Demo,tablewidget
Demo- Notebooks,chart/column
DS_CHECK,pivot2
Dynamic_EC,pivot2
Dynamic_EC,indicator
Dynamic_EC,pivot2
expand_pivot,pivot2
Export to PDF text widget,richtexteditor
generative_ai,BloX
Governance Dashboard,pivot2
Governance Dashboard,indicator
Governance Dashboard,indicator
Governance Dashboard,pivot2
Governance Dashboard,pivot2
Governance Dashboard,chart/bar
Governance Dashboard,pivot2
Governance Dashboard,BloX
Governance Dashboard,indicator
Governance Users Info,chart/bar
Governance Users Info,pivot2
Governance Users Info,chart/pie
Governance Users Info,indicator
Governance Users Info,pivot2
Governance Users Info,chart/pie
Governance Users Info,BloX
Health Assessment,indicator
Health Assessment,pivot2
Health Assessment,indicator
Health Assessment,pivot2
Health Assessment,pivot2
Health Assessment,indicator
Health Assessment,indicator
Health Assessment,indicator
Health Assessment,indicator
Health Assessment,indicator
Health Assessment,indicator
Health Assessment,chart/column
Health Assessment,pivot2
Health Assessment,pivot2
Health Assessment,indicator
Health Assessment,indicator
Health Assessment,indicator
Health Assessment,indicator
Health Assessment,pivot2
Health Assessment,richtexteditor
Health Assessment,richtexteditor
Health Assessment,pivot2
Health Assessment,pivot2
himanshu_test,indicator
himanshu_test,chart/pie
housing_dataset_housing_auto_sklearn,BloX
housing_dataset_housing_sagemaker,BloX
image_url,BloX
include_all_dim,pivot2
Industrial_Scientific,BloX
Industrial_Scientific,indicator
INDUSTRY - SBS View,chart/pie
INDUSTRY - SBS View,chart/line
INDUSTRY - SBS View,richtexteditor
INDUSTRY - SBS View,chart/line
INDUSTRY - SBS View,chart/pie
INDUSTRY - SBS View,richtexteditor
INDUSTRY - SBS View,richtexteditor
INDUSTRY - SBS View,chart/line
INDUSTRY - SBS View,chart/pie
INDUSTRY - SBS View,BloX
INDUSTRY - SBS View,indicator
INDUSTRY - SBS View,indicator
INDUSTRY - SBS View,pivot2
INDUSTRY - SBS View,pivot2
INDUSTRY - SBS View,indicator
INDUSTRY - SBS View,pivot2
INDUSTRY - SBS View,pivot2
INDUSTRY - SBS View,chart/line
INDUSTRY - SBS View,chart/column
INDUSTRY - SBS View,indicator
INDUSTRY - SBS View,chart/column
INDUSTRY - SBS View,chart/pie
IntApp,richtexteditor
IPC Body CMM,chart/line
IPC Body CMM,histogramwidget
IPC Body CMM,histogramwidget
IPC Body CMM,BloX
IPC Body CMM,chart/line
IPC Body CMM,chart/line
IPC Body CMM,histogramwidget
IPC Body CMM,BloX
IPC Body CMM,BloX
IPC Body CMM (1),chart/line
